,metric,year,value
0,global-temperature,1880.0,-0.11
1,global-temperature,1881.0,-0.14
2,global-temperature,1882.0,-0.18
3,global-temperature,1883.0,-0.21
4,global-temperature,1884.0,-0.25
5,global-temperature,1885.0,-0.27
6,global-temperature,1886.0,-0.28
7,global-temperature,1887.0,-0.28
8,global-temperature,1888.0,-0.27
9,global-temperature,1889.0,-0.26
10,global-temperature,1890.0,-0.26
11,global-temperature,1891.0,-0.26
12,global-temperature,1892.0,-0.27
13,global-temperature,1893.0,-0.27
14,global-temperature,1894.0,-0.25
15,global-temperature,1895.0,-0.23
16,global-temperature,1896.0,-0.21
17,global-temperature,1897.0,-0.19
18,global-temperature,1898.0,-0.17
19,global-temperature,1899.0,-0.18
20,global-temperature,1900.0,-0.21
21,global-temperature,1901.0,-0.24
22,global-temperature,1902.0,-0.27
23,global-temperature,1903.0,-0.29
24,global-temperature,1904.0,-0.32
25,global-temperature,1905.0,-0.34
26,global-temperature,1906.0,-0.36
27,global-temperature,1907.0,-0.38
28,global-temperature,1908.0,-0.39
29,global-temperature,1909.0,-0.41
30,global-temperature,1910.0,-0.42
31,global-temperature,1911.0,-0.4
32,global-temperature,1912.0,-0.36
33,global-temperature,1913.0,-0.33
34,global-temperature,1914.0,-0.32
35,global-temperature,1915.0,-0.31
36,global-temperature,1916.0,-0.3
37,global-temperature,1917.0,-0.3
38,global-temperature,1918.0,-0.3
39,global-temperature,1919.0,-0.3
40,global-temperature,1920.0,-0.28
41,global-temperature,1921.0,-0.27
42,global-temperature,1922.0,-0.26
43,global-temperature,1923.0,-0.24
44,global-temperature,1924.0,-0.23
45,global-temperature,1925.0,-0.22
46,global-temperature,1926.0,-0.22
47,global-temperature,1927.0,-0.21
48,global-temperature,1928.0,-0.2
49,global-temperature,1929.0,-0.19
50,global-temperature,1930.0,-0.19
51,global-temperature,1931.0,-0.19
52,global-temperature,1932.0,-0.18
53,global-temperature,1933.0,-0.17
54,global-temperature,1934.0,-0.16
55,global-temperature,1935.0,-0.14
56,global-temperature,1936.0,-0.11
57,global-temperature,1937.0,-0.06
58,global-temperature,1938.0,-0.02
59,global-temperature,1939.0,0.03
60,global-temperature,1940.0,0.06
61,global-temperature,1941.0,0.09
62,global-temperature,1942.0,0.1
63,global-temperature,1943.0,0.1
64,global-temperature,1944.0,0.07
65,global-temperature,1945.0,0.04
66,global-temperature,1946.0,-0.07
67,global-temperature,1947.0,-0.04
68,global-temperature,1948.0,-0.07
69,global-temperature,1949.0,-0.08
70,global-temperature,1950.0,-0.08
71,global-temperature,1951.0,-0.07
72,global-temperature,1952.0,-0.07
73,global-temperature,1953.0,-0.07
74,global-temperature,1954.0,-0.07
75,global-temperature,1955.0,-0.06
76,global-temperature,1956.0,-0.05
77,global-temperature,1957.0,-0.04
78,global-temperature,1958.0,-0.01
79,global-temperature,1959.0,0.01
80,global-temperature,1960.0,0.03
81,global-temperature,1961.0,0.01
82,global-temperature,1962.0,-0.01
83,global-temperature,1963.0,-0.03
84,global-temperature,1964.0,-0.04
85,global-temperature,1965.0,-0.05
86,global-temperature,1966.0,-0.06
87,global-temperature,1967.0,-0.05
88,global-temperature,1968.0,-0.03
89,global-temperature,1969.0,-0.02
90,global-temperature,1970.0,0.03
91,global-temperature,1971.0,-0.08
92,global-temperature,1972.0,0.01
93,global-temperature,1973.0,0.16
94,global-temperature,1974.0,0.01
95,global-temperature,1975.0,0.02
96,global-temperature,1976.0,0.04
97,global-temperature,1977.0,0.07
98,global-temperature,1978.0,0.12
99,global-temperature,1979.0,0.16
100,global-temperature,1980.0,0.2
101,global-temperature,1981.0,0.21
102,global-temperature,1982.0,0.22
103,global-temperature,1983.0,0.21
104,global-temperature,1984.0,0.21
105,global-temperature,1985.0,0.22
106,global-temperature,1986.0,0.24
107,global-temperature,1987.0,0.27
108,global-temperature,1988.0,0.31
109,global-temperature,1989.0,0.33
110,global-temperature,1990.0,0.33
111,global-temperature,1991.0,0.33
112,global-temperature,1992.0,0.33
113,global-temperature,1993.0,0.33
114,global-temperature,1994.0,0.34
115,global-temperature,1995.0,0.37
116,global-temperature,1996.0,0.4
117,global-temperature,1997.0,0.42
118,global-temperature,1998.0,0.44
119,global-temperature,1999.0,0.47
120,global-temperature,2000.0,0.5
121,global-temperature,2001.0,0.52
122,global-temperature,2002.0,0.55
123,global-temperature,2003.0,0.58
124,global-temperature,2004.0,0.61
125,global-temperature,2005.0,0.62
126,global-temperature,2006.0,0.62
127,global-temperature,2007.0,0.63
128,global-temperature,2008.0,0.64
129,global-temperature,2009.0,0.64
130,global-temperature,2010.0,0.65
131,global-temperature,2011.0,0.67
132,global-temperature,2012.0,0.7
133,global-temperature,2013.0,0.74
134,global-temperature,2014.0,0.79
135,global-temperature,2015.0,0.83
136,global-temperature,2016.0,0.88
137,global-temperature,2017.0,0.91
138,global-temperature,2018.0,0.93
139,global-temperature,2019.0,0.94
140,global-temperature,2020.0,0.97
141,global-temperature,2021.0,1.02
142,global-temperature,2022.0,1.08
143,global-temperature,2023.0,1.13
144,global-temperature,2024.0,1.19
191,ocean-warming,1958.0,12.399999999999999
192,ocean-warming,1959.0,5.8999999999999995
193,ocean-warming,1960.0,38.199999999999996
194,ocean-warming,1961.0,45.4
195,ocean-warming,1962.0,51.79999999999999
196,ocean-warming,1963.0,36.099999999999994
197,ocean-warming,1964.0,27.799999999999994
198,ocean-warming,1965.0,20.799999999999997
199,ocean-warming,1966.0,1.7999999999999998
200,ocean-warming,1967.0,2.4
201,ocean-warming,1968.0,3.0999999999999996
202,ocean-warming,1969.0,16.799999999999997
203,ocean-warming,1970.0,24.599999999999994
204,ocean-warming,1971.0,36.8
205,ocean-warming,1972.0,45.3
206,ocean-warming,1973.0,52.199999999999996
207,ocean-warming,1974.0,59.5
208,ocean-warming,1975.0,79.0
209,ocean-warming,1976.0,78.6
210,ocean-warming,1977.0,81.6
211,ocean-warming,1978.0,93.59999999999998
212,ocean-warming,1979.0,93.69999999999999
213,ocean-warming,1980.0,81.3
214,ocean-warming,1981.0,79.19999999999999
215,ocean-warming,1982.0,82.3
216,ocean-warming,1983.0,83.3
217,ocean-warming,1984.0,90.89999999999999
218,ocean-warming,1985.0,97.79999999999998
219,ocean-warming,1986.0,100.19999999999997
220,ocean-warming,1987.0,103.3
221,ocean-warming,1988.0,101.5
222,ocean-warming,1989.0,97.19999999999999
223,ocean-warming,1990.0,98.2
224,ocean-warming,1991.0,123.39999999999999
225,ocean-warming,1992.0,131.99999999999997
226,ocean-warming,1993.0,131.39999999999998
227,ocean-warming,1994.0,127.1
228,ocean-warming,1995.0,138.49999999999997
229,ocean-warming,1996.0,143.4
230,ocean-warming,1997.0,143.0
231,ocean-warming,1998.0,155.39999999999998
232,ocean-warming,1999.0,155.39999999999998
233,ocean-warming,2000.0,165.89999999999998
234,ocean-warming,2001.0,175.89999999999998
235,ocean-warming,2002.0,187.79999999999998
236,ocean-warming,2003.0,194.79999999999998
237,ocean-warming,2004.0,211.09999999999997
238,ocean-warming,2005.0,213.0
239,ocean-warming,2006.0,217.3
240,ocean-warming,2007.0,219.7
241,ocean-warming,2008.0,233.99999999999997
242,ocean-warming,2009.0,238.89999999999998
243,ocean-warming,2010.0,245.29999999999998
244,ocean-warming,2011.0,259.79999999999995
245,ocean-warming,2012.0,268.7
246,ocean-warming,2013.0,283.09999999999997
247,ocean-warming,2014.0,293.0
248,ocean-warming,2015.0,303.79999999999995
249,ocean-warming,2016.0,311.79999999999995
250,ocean-warming,2017.0,314.5
251,ocean-warming,2018.0,326.0
252,ocean-warming,2019.0,337.40000000000003
253,ocean-warming,2020.0,344.9
254,ocean-warming,2021.0,363.2
255,ocean-warming,2022.0,372.4
256,methane,1983.542,1625.96
257,methane,1983.625,1628.05
258,methane,1983.708,1638.42
259,methane,1983.792,1644.82
260,methane,1983.875,1642.58
261,methane,1983.958,1639.54
262,methane,1984.042,1638.76
263,methane,1984.125,1638.79
264,methane,1984.208,1640.85
265,methane,1984.292,1643.99
266,methane,1984.375,1643.13
267,methane,1984.458,1639.73
268,methane,1984.542,1638.01
269,methane,1984.625,1641.68
270,methane,1984.708,1650.61
271,methane,1984.792,1654.61
272,methane,1984.875,1653.77
273,methane,1984.958,1656.2
274,methane,1985.042,1655.63
275,methane,1985.125,1652.22
276,methane,1985.208,1654.6
277,methane,1985.292,1658.21
278,methane,1985.375,1655.87
279,methane,1985.458,1650.05
280,methane,1985.542,1646.82
281,methane,1985.625,1652.23
282,methane,1985.708,1662.49
283,methane,1985.792,1667.51
284,methane,1985.875,1666.79
285,methane,1985.958,1666.05
286,methane,1986.042,1666.31
287,methane,1986.125,1666.9
288,methane,1986.208,1669.26
289,methane,1986.292,1670.82
290,methane,1986.375,1668.44
291,methane,1986.458,1664.76
292,methane,1986.542,1662.34
293,methane,1986.625,1664.36
294,methane,1986.708,1672.57
295,methane,1986.792,1678.69
296,methane,1986.875,1678.96
297,methane,1986.958,1679.11
298,methane,1987.042,1679.42
299,methane,1987.125,1679.01
300,methane,1987.208,1680.01
301,methane,1987.292,1681.36
302,methane,1987.375,1681.84
303,methane,1987.458,1679.98
304,methane,1987.542,1675.98
305,methane,1987.625,1677.14
306,methane,1987.708,1685.59
307,methane,1987.792,1691.59
308,methane,1987.875,1691.15
309,methane,1987.958,1690.48
310,methane,1988.042,1692.0
311,methane,1988.125,1692.52
312,methane,1988.208,1691.28
313,methane,1988.292,1690.08
314,methane,1988.375,1689.09
315,methane,1988.458,1687.18
316,methane,1988.542,1686.03
317,methane,1988.625,1689.42
318,methane,1988.708,1696.12
319,methane,1988.792,1701.16
320,methane,1988.875,1702.83
321,methane,1988.958,1701.91
322,methane,1989.042,1700.57
323,methane,1989.125,1701.09
324,methane,1989.208,1702.48
325,methane,1989.292,1703.6
326,methane,1989.375,1703.35
327,methane,1989.458,1700.2
328,methane,1989.542,1698.22
329,methane,1989.625,1701.96
330,methane,1989.708,1707.17
331,methane,1989.792,1710.54
332,methane,1989.875,1713.09
333,methane,1989.958,1713.22
334,methane,1990.042,1712.16
335,methane,1990.125,1713.48
336,methane,1990.208,1714.34
337,methane,1990.292,1712.55
338,methane,1990.375,1710.63
339,methane,1990.458,1708.45
340,methane,1990.542,1706.58
341,methane,1990.625,1710.22
342,methane,1990.708,1717.59
343,methane,1990.792,1722.03
344,methane,1990.875,1723.44
345,methane,1990.958,1723.31
346,methane,1991.042,1721.68
347,methane,1991.125,1721.29
348,methane,1991.208,1722.08
349,methane,1991.292,1722.46
350,methane,1991.375,1722.11
351,methane,1991.458,1718.87
352,methane,1991.542,1715.98
353,methane,1991.625,1719.14
354,methane,1991.708,1726.06
355,methane,1991.792,1732.71
356,methane,1991.875,1737.43
357,methane,1991.958,1739.56
358,methane,1992.042,1738.95
359,methane,1992.125,1737.36
360,methane,1992.208,1736.9
361,methane,1992.292,1736.67
362,methane,1992.375,1734.96
363,methane,1992.458,1731.56
364,methane,1992.542,1728.83
365,methane,1992.625,1730.32
366,methane,1992.708,1734.61
367,methane,1992.792,1737.69
368,methane,1992.875,1739.21
369,methane,1992.958,1738.56
370,methane,1993.042,1735.81
371,methane,1993.125,1734.34
372,methane,1993.208,1735.37
373,methane,1993.292,1736.61
374,methane,1993.375,1734.99
375,methane,1993.458,1730.87
376,methane,1993.542,1728.03
377,methane,1993.625,1731.13
378,methane,1993.708,1738.45
379,methane,1993.792,1743.4
380,methane,1993.875,1745.2
381,methane,1993.958,1744.29
382,methane,1994.042,1741.45
383,methane,1994.125,1740.86
384,methane,1994.208,1741.94
385,methane,1994.292,1741.96
386,methane,1994.375,1740.63
387,methane,1994.458,1736.88
388,methane,1994.542,1732.41
389,methane,1994.625,1734.05
390,methane,1994.708,1742.89
391,methane,1994.792,1749.78
392,methane,1994.875,1751.21
393,methane,1994.958,1751.61
394,methane,1995.042,1751.15
395,methane,1995.125,1749.48
396,methane,1995.208,1748.98
397,methane,1995.292,1749.44
398,methane,1995.375,1747.64
399,methane,1995.458,1742.82
400,methane,1995.542,1740.18
401,methane,1995.625,1743.57
402,methane,1995.708,1749.77
403,methane,1995.792,1754.36
404,methane,1995.875,1755.49
405,methane,1995.958,1753.85
406,methane,1996.042,1752.26
407,methane,1996.125,1752.73
408,methane,1996.208,1752.21
409,methane,1996.292,1749.62
410,methane,1996.375,1748.29
411,methane,1996.458,1746.04
412,methane,1996.542,1742.07
413,methane,1996.625,1744.28
414,methane,1996.708,1752.64
415,methane,1996.792,1758.91
416,methane,1996.875,1760.01
417,methane,1996.958,1756.91
418,methane,1997.042,1753.42
419,methane,1997.125,1753.84
420,methane,1997.208,1755.66
421,methane,1997.292,1755.55
422,methane,1997.375,1753.8
423,methane,1997.458,1750.08
424,methane,1997.542,1746.06
425,methane,1997.625,1747.74
426,methane,1997.708,1754.98
427,methane,1997.792,1760.3
428,methane,1997.875,1761.69
429,methane,1997.958,1761.89
430,methane,1998.042,1761.47
431,methane,1998.125,1761.42
432,methane,1998.208,1762.93
433,methane,1998.292,1764.72
434,methane,1998.375,1764.24
435,methane,1998.458,1760.32
436,methane,1998.542,1756.17
437,methane,1998.625,1760.18
438,methane,1998.708,1770.66
439,methane,1998.792,1776.24
440,methane,1998.875,1775.46
441,methane,1998.958,1774.04
442,methane,1999.042,1773.81
443,methane,1999.125,1773.87
444,methane,1999.208,1774.57
445,methane,1999.292,1774.98
446,methane,1999.375,1772.65
447,methane,1999.458,1767.33
448,methane,1999.542,1762.96
449,methane,1999.625,1764.61
450,methane,1999.708,1771.0
451,methane,1999.792,1776.63
452,methane,1999.875,1778.53
453,methane,1999.958,1777.23
454,methane,2000.042,1775.55
455,methane,2000.125,1775.43
456,methane,2000.208,1776.49
457,methane,2000.292,1777.23
458,methane,2000.375,1774.56
459,methane,2000.458,1768.12
460,methane,2000.542,1763.48
461,methane,2000.625,1765.44
462,methane,2000.708,1772.04
463,methane,2000.792,1777.11
464,methane,2000.875,1777.71
465,methane,2000.958,1775.32
466,methane,2001.042,1772.9
467,methane,2001.125,1772.5
468,methane,2001.208,1773.64
469,methane,2001.292,1773.9
470,methane,2001.375,1770.87
471,methane,2001.458,1766.1
472,methane,2001.542,1763.04
473,methane,2001.625,1764.49
474,methane,2001.708,1770.44
475,methane,2001.792,1775.5
476,methane,2001.875,1776.55
477,methane,2001.958,1775.92
478,methane,2002.042,1774.12
479,methane,2002.125,1772.8
480,methane,2002.208,1773.39
481,methane,2002.292,1772.77
482,methane,2002.375,1770.3
483,methane,2002.458,1766.9
484,methane,2002.542,1764.23
485,methane,2002.625,1766.84
486,methane,2002.708,1773.67
487,methane,2002.792,1778.28
488,methane,2002.875,1779.48
489,methane,2002.958,1779.65
490,methane,2003.042,1777.56
491,methane,2003.125,1774.81
492,methane,2003.208,1774.84
493,methane,2003.292,1775.83
494,methane,2003.375,1774.44
495,methane,2003.458,1771.68
496,methane,2003.542,1770.72
497,methane,2003.625,1774.29
498,methane,2003.708,1780.56
499,methane,2003.792,1784.7
500,methane,2003.875,1785.26
501,methane,2003.958,1783.53
502,methane,2004.042,1780.71
503,methane,2004.125,1779.65
504,methane,2004.208,1780.93
505,methane,2004.292,1780.89
506,methane,2004.375,1777.61
507,methane,2004.458,1772.25
508,methane,2004.542,1768.05
509,methane,2004.625,1769.79
510,methane,2004.708,1775.53
511,methane,2004.792,1779.78
512,methane,2004.875,1780.48
513,methane,2004.958,1778.26
514,methane,2005.042,1776.17
515,methane,2005.125,1775.73
516,methane,2005.208,1775.57
517,methane,2005.292,1774.81
518,methane,2005.375,1772.5
519,methane,2005.458,1768.8
520,methane,2005.542,1766.42
521,methane,2005.625,1768.15
522,methane,2005.708,1773.24
523,methane,2005.792,1778.6
524,methane,2005.875,1781.23
525,methane,2005.958,1780.26
526,methane,2006.042,1779.54
527,methane,2006.125,1779.45
528,methane,2006.208,1777.38
529,methane,2006.292,1776.14
530,methane,2006.375,1774.9
531,methane,2006.458,1769.22
532,methane,2006.542,1764.18
533,methane,2006.625,1767.23
534,methane,2006.708,1774.59
535,methane,2006.792,1778.26
536,methane,2006.875,1779.02
537,methane,2006.958,1779.92
538,methane,2007.042,1779.23
539,methane,2007.125,1778.58
540,methane,2007.208,1780.23
541,methane,2007.292,1781.14
542,methane,2007.375,1779.47
543,methane,2007.458,1775.61
544,methane,2007.542,1772.6
545,methane,2007.625,1777.18
546,methane,2007.708,1785.87
547,methane,2007.792,1789.87
548,methane,2007.875,1789.51
549,methane,2007.958,1788.19
550,methane,2008.042,1786.72
551,methane,2008.125,1785.79
552,methane,2008.208,1786.16
553,methane,2008.292,1786.91
554,methane,2008.375,1785.19
555,methane,2008.458,1780.46
556,methane,2008.542,1777.66
557,methane,2008.625,1781.04
558,methane,2008.708,1787.66
559,methane,2008.792,1793.69
560,methane,2008.875,1797.29
561,methane,2008.958,1796.6
562,methane,2009.042,1795.1
563,methane,2009.125,1795.58
564,methane,2009.208,1795.93
565,methane,2009.292,1795.57
566,methane,2009.375,1792.39
567,methane,2009.458,1786.93
568,methane,2009.542,1785.04
569,methane,2009.625,1788.9
570,methane,2009.708,1794.83
571,methane,2009.792,1798.03
572,methane,2009.875,1797.84
573,methane,2009.958,1796.72
574,methane,2010.042,1797.33
575,methane,2010.125,1798.89
576,methane,2010.208,1799.44
577,methane,2010.292,1799.59
578,methane,2010.375,1797.6
579,methane,2010.458,1792.41
580,methane,2010.542,1789.31
581,methane,2010.625,1793.96
582,methane,2010.708,1801.87
583,methane,2010.792,1806.68
584,methane,2010.875,1807.0
585,methane,2010.958,1803.29
586,methane,2011.042,1800.07
587,methane,2011.125,1800.02
588,methane,2011.208,1801.01
589,methane,2011.292,1802.84
590,methane,2011.375,1803.15
591,methane,2011.458,1799.08
592,methane,2011.542,1796.16
593,methane,2011.625,1799.04
594,methane,2011.708,1804.24
595,methane,2011.792,1809.71
596,methane,2011.875,1812.33
597,methane,2011.958,1810.02
598,methane,2012.042,1807.45
599,methane,2012.125,1808.38
600,methane,2012.208,1810.05
601,methane,2012.292,1808.52
602,methane,2012.375,1804.82
603,methane,2012.458,1801.04
604,methane,2012.542,1799.38
605,methane,2012.625,1803.27
606,methane,2012.708,1810.14
607,methane,2012.792,1814.85
608,methane,2012.875,1815.93
609,methane,2012.958,1814.57
610,methane,2013.042,1814.07
611,methane,2013.125,1814.13
612,methane,2013.208,1813.24
613,methane,2013.292,1812.85
614,methane,2013.375,1811.93
615,methane,2013.458,1808.6
616,methane,2013.542,1806.0
617,methane,2013.625,1808.52
618,methane,2013.708,1814.25
619,methane,2013.792,1818.53
620,methane,2013.875,1820.32
621,methane,2013.958,1819.35
622,methane,2014.042,1816.87
623,methane,2014.125,1816.36
624,methane,2014.208,1818.1
625,methane,2014.292,1820.87
626,methane,2014.375,1821.86
627,methane,2014.458,1818.31
628,methane,2014.542,1815.55
629,methane,2014.625,1819.7
630,methane,2014.708,1826.83
631,methane,2014.792,1831.22
632,methane,2014.875,1833.01
633,methane,2014.958,1833.53
634,methane,2015.042,1833.11
635,methane,2015.125,1832.91
636,methane,2015.208,1833.2
637,methane,2015.292,1833.2
638,methane,2015.375,1831.54
639,methane,2015.458,1827.13
640,methane,2015.542,1824.62
641,methane,2015.625,1828.99
642,methane,2015.708,1836.24
643,methane,2015.792,1841.52
644,methane,2015.875,1844.59
645,methane,2015.958,1844.77
646,methane,2016.042,1842.46
647,methane,2016.125,1841.63
648,methane,2016.208,1843.0
649,methane,2016.292,1843.77
650,methane,2016.375,1842.12
651,methane,2016.458,1837.82
652,methane,2016.542,1834.18
653,methane,2016.625,1836.68
654,methane,2016.708,1844.18
655,methane,2016.792,1849.89
656,methane,2016.875,1851.42
657,methane,2016.958,1851.06
658,methane,2017.042,1849.78
659,methane,2017.125,1848.51
660,methane,2017.208,1848.28
661,methane,2017.292,1848.62
662,methane,2017.375,1847.21
663,methane,2017.458,1842.89
664,methane,2017.542,1840.25
665,methane,2017.625,1844.58
666,methane,2017.708,1852.77
667,methane,2017.792,1858.04
668,methane,2017.875,1858.59
669,methane,2017.958,1856.59
670,methane,2018.042,1854.47
671,methane,2018.125,1854.95
672,methane,2018.208,1856.86
673,methane,2018.292,1856.72
674,methane,2018.375,1854.82
675,methane,2018.458,1852.01
676,methane,2018.542,1849.11
677,methane,2018.625,1851.91
678,methane,2018.708,1860.48
679,methane,2018.792,1865.78
680,methane,2018.875,1866.25
681,methane,2018.958,1866.02
682,methane,2019.042,1865.01
683,methane,2019.125,1865.01
684,methane,2019.208,1866.31
685,methane,2019.292,1865.34
686,methane,2019.375,1861.97
687,methane,2019.458,1858.78
688,methane,2019.542,1858.24
689,methane,2019.625,1862.89
690,methane,2019.708,1870.77
691,methane,2019.792,1875.44
692,methane,2019.875,1875.59
693,methane,2019.958,1874.62
694,methane,2020.042,1872.93
695,methane,2020.125,1872.27
696,methane,2020.208,1874.38
697,methane,2020.292,1875.82
698,methane,2020.375,1874.41
699,methane,2020.458,1871.97
700,methane,2020.542,1871.49
701,methane,2020.625,1876.38
702,methane,2020.708,1884.56
703,methane,2020.792,1889.99
704,methane,2020.875,1891.43
705,methane,2020.958,1890.95
706,methane,2021.042,1888.62
707,methane,2021.125,1886.63
708,methane,2021.208,1887.99
709,methane,2021.292,1890.82
710,methane,2021.375,1891.27
711,methane,2021.458,1888.08
712,methane,2021.542,1886.0
713,methane,2021.625,1892.31
714,methane,2021.708,1902.44
715,methane,2021.792,1907.92
716,methane,2021.875,1909.19
717,methane,2021.958,1907.94
718,methane,2022.042,1906.34
719,methane,2022.125,1906.39
720,methane,2022.208,1907.77
721,methane,2022.292,1908.86
722,methane,2022.375,1907.48
723,methane,2022.458,1904.83
724,methane,2022.542,1904.02
725,methane,2022.625,1908.31
726,methane,2022.708,1915.06
727,methane,2022.792,1919.46
728,methane,2022.875,1922.1
729,methane,2022.958,1922.04
730,methane,2023.042,1920.05
731,methane,2023.125,1918.92
732,methane,2023.208,1918.71
733,methane,2023.292,1920.1
734,methane,2023.375,1919.74
735,methane,2023.458,1915.4
736,methane,2023.542,1913.19
737,methane,2023.625,1917.17
738,methane,2023.708,1924.96
739,methane,2023.792,1930.61
740,methane,2023.875,1931.76
741,methane,2023.958,1931.11
742,methane,2024.042,1928.51
743,methane,2024.125,1926.54
744,methane,2024.208,1928.21
745,methane,2024.292,1929.56
746,methane,2024.375,1926.17
747,methane,2024.458,1921.55
748,methane,2024.542,1920.84
749,methane,2024.625,1926.35
750,methane,2024.708,1936.23
